composition,cell,positions,numbers,entry_id,calculation_id,OQMD Formation energy (eV/atom),OQMD Hull distance (eV/atom),natoms,spacegroup
GePd124,"[[0.0, 9.881677822, 9.881677822], [9.881677822, 0.0, 9.881677822], [9.881677822, 9.881677822, 0.0]]","[[0.0, 0.0, 0.0], [0.197, 0.0, 0.0], [0.4, 0.0, 0.0], [0.6, 0.0, 0.0], [0.803, 0.0, 0.0], [0.0, 0.197, 0.0], [0.803, 0.197, 0.0], [0.4, 0.2, 0.0], [0.0, 0.4, 0.0], [0.6, 0.4, 0.0], [0.2, 0.4, 0.0], [0.4, 0.4, 0.0], [0.8, 0.6, 0.0], [0.6, 0.6, 0.0], [0.0, 0.6, 0.0], [0.4, 0.6, 0.0], [0.6, 0.8, 0.0], [0.0, 0.803, 0.0], [0.197, 0.803, 0.0], [0.8, 0.8, 0.000149], [0.8, 0.399, 0.000149], [0.399, 0.8, 0.000149], [0.0, 0.0, 0.197], [0.803, 0.0, 0.197], [0.0, 0.803, 0.197], [0.601, 0.2, 0.2], [1.0, 0.2, 0.2], [0.2, 0.601, 0.2], [0.2, 1.0, 0.2], [1.0, 0.601, 0.2], [0.601, 1.0, 0.2], [0.6, 0.6, 0.2], [0.4, 0.4, 0.2], [0.4, 0.0, 0.2], [0.0, 0.4, 0.2], [0.2, 0.2, 0.2], [0.4, 0.2, 0.2], [0.2, 0.4, 0.2], [0.4, 0.6, 0.2], [0.6, 0.4, 0.2], [0.8, 0.4, 0.2], [0.8, 0.6, 0.2], [0.4, 0.8, 0.2], [0.6, 0.8, 0.2], [0.799, 0.201, 0.201], [0.201, 0.799, 0.201], [0.799, 0.799, 0.201], [0.000149, 0.8, 0.399], [0.8, 0.000149, 0.399], [0.8, 0.8, 0.399], [0.0, 0.0, 0.4], [0.6, 0.0, 0.4], [0.0, 0.6, 0.4], [0.4, 0.4, 0.4], [0.8, 0.4, 0.4], [0.4, 0.8, 0.4], [0.6, 0.4, 0.4], [0.4, 0.6, 0.4], [0.6, 0.6, 0.4], [0.2, 0.4, 0.4], [0.0, 0.4, 0.4], [0.2, 0.0, 0.4], [0.4, 0.0, 0.4], [0.4, 0.2, 0.4], [0.0, 0.2, 0.4], [0.8, 0.2, 0.4], [0.2, 0.8, 0.4], [0.6, 0.2, 0.4], [0.8, 0.6, 0.4], [0.6, 0.8, 0.4], [0.2, 0.6, 0.4], [0.2, 0.2, 0.4], [0.8, 0.8, 0.6], [0.4, 0.2, 0.6], [0.8, 0.2, 0.6], [0.8, 0.4, 0.6], [0.2, 0.8, 0.6], [0.4, 0.8, 0.6], [0.2, 0.4, 0.6], [0.8, 0.0, 0.6], [0.0, 0.8, 0.6], [0.8, 0.6, 0.6], [0.6, 0.0, 0.6], [0.0, 0.6, 0.6], [0.6, 0.8, 0.6], [0.4, 0.4, 0.6], [0.6, 0.4, 0.6], [0.4, 0.6, 0.6], [0.6, 0.2, 0.6], [0.2, 0.6, 0.6], [0.6, 0.6, 0.6], [0.0, 0.0, 0.6], [0.4, 0.0, 0.6], [0.0, 0.4, 0.6], [1.0, 0.2, 0.601], [0.2, 0.2, 0.601], [0.2, 1.0, 0.601], [0.799, 0.201, 0.799], [0.201, 0.799, 0.799], [0.201, 0.201, 0.799], [0.4, 0.2, 0.8], [0.6, 0.2, 0.8], [0.2, 0.4, 0.8], [0.6, 0.4, 0.8], [0.2, 0.6, 0.8], [0.4, 0.6, 0.8], [0.6, 0.8, 0.8], [0.8, 0.6, 0.8], [0.8, 0.8, 0.8], [0.6, 0.0, 0.8], [0.6, 0.6, 0.8], [0.0, 0.6, 0.8], [0.4, 0.4, 0.8], [0.399, 0.000149, 0.8], [0.8, 0.000149, 0.8], [0.000149, 0.399, 0.8], [0.8, 0.399, 0.8], [0.000149, 0.8, 0.8], [0.399, 0.8, 0.8], [0.0, 0.0, 0.803], [0.197, 0.0, 0.803], [0.0, 0.197, 0.803], [0.601, 0.2, 1.0], [0.2, 0.2, 1.0], [0.2, 0.601, 1.0]]","[32, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46]",2070085,5293393,-0.016425446440000088,0.0,125,Fm-3m
Y5Pd9,"[[9.798481622, 0.0, 0.0], [0.0, 9.798481622, 0.0], [0.0, 0.0, 5.763001282]]","[[0.281, 0.0607, 0.0], [0.0607, 0.281, 0.0], [0.5, 0.5, 0.0], [0.939, 0.719, 0.0], [0.719, 0.939, 0.0], [0.309, 0.309, 0.25], [0.691, 0.691, 0.25], [0.809, 0.191, 0.25], [0.191, 0.809, 0.25], [0.0, 0.0, 0.5], [0.561, 0.219, 0.5], [0.781, 0.439, 0.5], [0.219, 0.561, 0.5], [0.439, 0.781, 0.5], [0.809, 0.191, 0.75], [0.191, 0.809, 0.75], [0.309, 0.309, 0.75], [0.691, 0.691, 0.75], [0.0, 0.0, 0.0], [0.547, 0.192, 0.0], [0.808, 0.453, 0.0], [0.192, 0.547, 0.0], [0.453, 0.808, 0.0], [0.308, 0.0467, 0.5], [0.0467, 0.308, 0.5], [0.5, 0.5, 0.5], [0.953, 0.692, 0.5], [0.692, 0.953, 0.5]]","[46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 46, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",2136478,5597467,-0.917748539642857,0.0,28,P42/mnm
YPbAu,"[[-3.410845, 3.410845, 0.0], [3.410845, 0.0, -3.410845], [-3.410845, -3.410845, 0.0]]","[[0.75, 0.5, 0.25], [0.0, 0.0, 0.0], [0.5, 0.0, 0.5]]","[79, 82, 39]",10792,9328,-0.691646155,0.0,3,F-43m
YAu,"[[-3.735834, 0.0, 0.0], [0.0, 0.0, -4.662692], [-1.867917, -5.48428, 0.0]]","[[0.412, 0.75, 0.175], [0.588, 0.25, 0.825], [0.861, 0.25, 0.279], [0.139, 0.75, 0.721]]","[79, 79, 39, 39]",21470,9785,-0.885904060000001,0.0,4,Cmcm
Pb2Au,"[[0.0, 0.0, -5.731006], [-3.707854, -3.707854, 2.865503], [-3.707854, 3.707854, -2.865503]]","[[0.25, 0.0, 0.0], [0.75, 0.0, 0.0], [0.159, 0.5, 0.182], [0.341, 0.182, 0.5], [0.659, 0.818, 0.5], [0.841, 0.5, 0.818]]","[79, 79, 82, 82, 82, 82]",10126,20055,-0.0873423333333333,0.0,6,I4/mcm
YAu3,"[[6.147889, 0.0, 0.0], [0.0, 5.018658, 0.0], [0.0, 0.0, 5.131298]]","[[0.993, 0.25, 0.16], [0.507, 0.25, 0.16], [0.25, 0.75, 0.333], [0.75, 0.25, 0.667], [0.00687, 0.75, 0.84], [0.493, 0.75, 0.84], [0.75, 0.75, 0.345], [0.25, 0.25, 0.655]]","[79, 79, 79, 79, 79, 79, 39, 39]",28231,28692,-0.713549001250001,0.0,8,Pmmn
Y2Au,"[[7.140614, 0.0, 0.0], [0.0, 4.952305, 0.0], [0.0, 0.0, 8.942598]]","[[0.743, 0.25, 0.1], [0.243, 0.25, 0.4], [0.757, 0.75, 0.6], [0.257, 0.75, 0.9], [0.148, 0.25, 0.0808], [0.484, 0.75, 0.176], [0.984, 0.75, 0.324], [0.648, 0.25, 0.419], [0.352, 0.75, 0.581], [0.0159, 0.25, 0.676], [0.516, 0.25, 0.824], [0.852, 0.75, 0.919]]","[79, 79, 79, 79, 39, 39, 39, 39, 39, 39, 39, 39]",24046,159653,-0.647976760833334,0.0,12,Pnma
YAu4,"[[-3.382987594, 3.382987594, 2.119489757], [3.382987594, -3.382987594, 2.119489757], [3.382987594, 3.382987594, -2.119489757]]","[[0.801, 0.403, 0.204], [0.597, 0.801, 0.399], [0.403, 0.199, 0.601], [0.199, 0.597, 0.796], [0.0, 0.0, 0.0]]","[79, 79, 79, 79, 39]",1375251,3450026,-0.589165259,0.0,5,I4/m
PbAu,"[[4.052848646, 0.0, 0.0], [0.0, 4.367178628, 0.0], [-1.991993213, 0.0, 5.614977135]]","[[0.0955, 0.75, 0.175], [0.905, 0.25, 0.825], [0.649, 0.25, 0.291], [0.351, 0.75, 0.709]]","[79, 79, 82, 82]",1480908,3824387,-0.09939528000000042,0.0,4,P21/m
Y2PbAu2,"[[7.549638, 0.0, 0.0], [0.0, 5.677245, 5.677245], [0.0, -5.677245, 5.677245]]","[[0.236, 0.874, 0.126], [0.764, 0.874, 0.126], [0.264, 0.374, 0.374], [0.736, 0.374, 0.374], [0.264, 0.626, 0.626], [0.736, 0.626, 0.626], [0.236, 0.126, 0.874], [0.764, 0.126, 0.874], [0.25, 0.5, 0.0], [0.75, 0.5, 0.0], [0.25, 0.0, 0.5], [0.75, 0.0, 0.5], [0.5, 0.162, 0.162], [0.0, 0.176, 0.176], [0.5, 0.676, 0.324], [0.0, 0.662, 0.338], [0.0, 0.338, 0.662], [0.5, 0.324, 0.676], [0.0, 0.824, 0.824], [0.5, 0.838, 0.838]]","[79, 79, 79, 79, 79, 79, 79, 79, 82, 82, 82, 82, 39, 39, 39, 39, 39, 39, 39, 39]",1784674,4653778,-0.7874859494999995,0.0,20,P42/mnm
YAu2,"[[3.725806531, 0.0, 0.0], [0.0, 3.725806531, 0.0], [0.0, 0.0, 9.10905506]]","[[0.0, 0.5, 0.0842], [0.0, 0.5, 0.415], [0.5, 0.0, 0.585], [0.5, 0.0, 0.916], [0.5, 0.0, 0.25], [0.0, 0.5, 0.75]]","[79, 79, 79, 79, 39, 39]",1895433,4967598,-0.8626808650000003,0.0,6,P4/nmm
PbAu2,"[[8.096239316, 0.0, 0.0], [0.0, 5.689735501, 0.0], [0.0, 0.0, 11.451153608]]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.0], [0.773, 0.286, 0.125], [0.727, 0.786, 0.125], [0.5, 0.481, 0.25], [0.0, 0.981, 0.25], [0.227, 0.286, 0.375], [0.273, 0.786, 0.375], [0.0, 0.0, 0.5], [0.5, 0.5, 0.5], [0.727, 0.214, 0.625], [0.773, 0.714, 0.625], [0.0, 0.0191, 0.75], [0.5, 0.519, 0.75], [0.273, 0.214, 0.875], [0.227, 0.714, 0.875], [0.374, 0.00899, 0.125], [0.126, 0.509, 0.125], [0.626, 0.00899, 0.375], [0.874, 0.509, 0.375], [0.126, 0.491, 0.625], [0.374, 0.991, 0.625], [0.874, 0.491, 0.875], [0.626, 0.991, 0.875]]","[79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 82, 82, 82, 82, 82, 82, 82, 82]",2051608,5179787,-0.08004247750000044,0.0,24,Pbcn
PbAu124,"[[0.0, 10.405129931, 10.405129931], [10.405129931, 0.0, 10.405129931], [10.405129931, 10.405129931, 0.0]]","[[0.205, 0.0, 0.0], [0.402, 0.0, 0.0], [0.598, 0.0, 0.0], [0.795, 0.0, 0.0], [0.4, 0.2, 0.0], [0.599, 0.201, 0.0], [0.201, 0.201, 0.0], [0.0, 0.205, 0.0], [0.795, 0.205, 0.0], [0.2, 0.4, 0.0], [0.4, 0.4, 0.0], [0.799, 0.401, 0.0], [0.0, 0.402, 0.0], [0.598, 0.402, 0.0], [0.0, 0.598, 0.0], [0.402, 0.598, 0.0], [0.201, 0.599, 0.0], [0.6, 0.6, 0.0], [0.8, 0.6, 0.0], [0.0, 0.795, 0.0], [0.205, 0.795, 0.0], [0.401, 0.799, 0.0], [0.799, 0.799, 0.0], [0.6, 0.8, 0.0], [0.8, 0.2, 0.2], [0.2, 0.8, 0.2], [0.8, 0.8, 0.2], [0.2, 0.2, 0.2], [0.4, 0.2, 0.2], [0.2, 0.4, 0.2], [0.6, 0.6, 0.2], [0.4, 0.6, 0.2], [0.6, 0.4, 0.2], [0.8, 0.6, 0.2], [0.6, 0.8, 0.2], [0.8, 0.4, 0.2], [0.4, 0.8, 0.2], [0.4, 0.0, 0.2], [0.0, 0.4, 0.2], [0.4, 0.4, 0.2], [0.201, 0.0, 0.201], [0.0, 0.201, 0.201], [0.599, 0.201, 0.201], [0.201, 0.599, 0.201], [0.599, 0.0, 0.201], [0.0, 0.599, 0.201], [0.0, 0.0, 0.205], [0.795, 0.0, 0.205], [0.0, 0.795, 0.205], [0.2, 0.2, 0.4], [0.4, 0.0, 0.4], [0.0, 0.4, 0.4], [0.2, 0.0, 0.4], [0.0, 0.2, 0.4], [0.4, 0.2, 0.4], [0.2, 0.4, 0.4], [0.4, 0.4, 0.4], [0.8, 0.4, 0.4], [0.4, 0.8, 0.4], [0.6, 0.4, 0.4], [0.4, 0.6, 0.4], [0.6, 0.6, 0.4], [0.6, 0.8, 0.4], [0.8, 0.2, 0.4], [0.8, 0.6, 0.4], [0.2, 0.8, 0.4], [0.6, 0.2, 0.4], [0.2, 0.6, 0.4], [0.799, 0.0, 0.401], [0.0, 0.799, 0.401], [0.799, 0.799, 0.401], [0.0, 0.0, 0.402], [0.598, 0.0, 0.402], [0.0, 0.598, 0.402], [0.0, 0.0, 0.598], [0.402, 0.0, 0.598], [0.0, 0.402, 0.598], [0.201, 0.0, 0.599], [0.0, 0.201, 0.599], [0.201, 0.201, 0.599], [0.8, 0.2, 0.6], [0.2, 0.8, 0.6], [0.4, 0.2, 0.6], [0.8, 0.4, 0.6], [0.2, 0.4, 0.6], [0.4, 0.8, 0.6], [0.4, 0.4, 0.6], [0.6, 0.4, 0.6], [0.4, 0.6, 0.6], [0.6, 0.6, 0.6], [0.6, 0.2, 0.6], [0.2, 0.6, 0.6], [0.6, 0.0, 0.6], [0.8, 0.0, 0.6], [0.0, 0.6, 0.6], [0.8, 0.6, 0.6], [0.0, 0.8, 0.6], [0.6, 0.8, 0.6], [0.8, 0.8, 0.6], [0.0, 0.0, 0.795], [0.205, 0.0, 0.795], [0.0, 0.205, 0.795], [0.401, 0.0, 0.799], [0.799, 0.0, 0.799], [0.0, 0.401, 0.799], [0.0, 0.799, 0.799], [0.799, 0.401, 0.799], [0.401, 0.799, 0.799], [0.0, 0.6, 0.8], [0.6, 0.0, 0.8], [0.6, 0.6, 0.8], [0.4, 0.2, 0.8], [0.6, 0.2, 0.8], [0.2, 0.4, 0.8], [0.6, 0.4, 0.8], [0.2, 0.6, 0.8], [0.4, 0.6, 0.8], [0.4, 0.4, 0.8], [0.8, 0.6, 0.8], [0.8, 0.8, 0.8], [0.6, 0.8, 0.8], [0.2, 0.2, 0.8], [0.8, 0.2, 0.8], [0.2, 0.8, 0.8], [0.0, 0.0, 0.0]]","[79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 82]",2070140,5296074,-0.0022633007199997337,0.0,125,Fm-3m
Y5Pb3Au,"[[9.271958626, 0.0, 0.0], [-4.635979313, 8.029751713, 0.0], [0.0, 0.0, 6.738814952]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.5], [0.61, 0.0, 0.25], [0.39, 0.39, 0.25], [0.0, 0.61, 0.25], [0.39, 0.0, 0.75], [0.0, 0.39, 0.75], [0.61, 0.61, 0.75], [0.667, 0.333, 0.0], [0.333, 0.667, 0.0], [0.262, 0.0, 0.25], [0.0, 0.262, 0.25], [0.738, 0.738, 0.25], [0.667, 0.333, 0.5], [0.333, 0.667, 0.5], [0.738, 0.0, 0.75], [0.262, 0.262, 0.75], [0.0, 0.738, 0.75]]","[79, 79, 82, 82, 82, 82, 82, 82, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",2158918,5667111,-0.6534956516666676,0.0,18,P63/mcm
Y7Au10,"[[7.020269975, -5.175010904, 0.0], [7.020269975, 5.175010904, 0.0], [0.0, 0.0, 10.377954736]]","[[0.0639, 0.645, 0.00309], [0.355, 0.936, 0.00309], [0.396, 0.604, 0.103], [0.139, 0.149, 0.209], [0.851, 0.861, 0.209], [0.351, 0.361, 0.291], [0.639, 0.649, 0.291], [0.896, 0.104, 0.397], [0.564, 0.145, 0.497], [0.855, 0.436, 0.497], [0.145, 0.564, 0.503], [0.436, 0.855, 0.503], [0.104, 0.896, 0.603], [0.361, 0.351, 0.709], [0.649, 0.639, 0.709], [0.149, 0.139, 0.791], [0.861, 0.851, 0.791], [0.604, 0.396, 0.897], [0.645, 0.0639, 0.997], [0.936, 0.355, 0.997], [0.0, 0.0, 0.0], [0.305, 0.305, 0.0], [0.695, 0.695, 0.0], [0.688, 0.312, 0.189], [0.497, 0.00337, 0.25], [0.997, 0.503, 0.25], [0.188, 0.812, 0.311], [0.195, 0.195, 0.5], [0.5, 0.5, 0.5], [0.805, 0.805, 0.5], [0.812, 0.188, 0.689], [0.00337, 0.497, 0.75], [0.503, 0.997, 0.75], [0.312, 0.688, 0.811]]","[79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39, 39]",2161591,5675146,-0.8768916855882355,0.0,34,Cmca
Al2Ru,"[[-4.02818, 2.371134, 0.0], [4.02818, 2.371134, 0.0], [0.0, -2.371134, -4.423466]]","[[0.67, 0.33, 0.0], [0.33, 0.67, 0.0], [0.42, 0.58, 0.5], [0.0795, 0.92, 0.5], [0.0, 0.0, 0.0], [0.75, 0.25, 0.5]]","[13, 13, 13, 13, 44, 44]",10579,19617,-0.712253266666667,0.0,6,Fddd
AlMo3,"[[4.975083, 0.0, 0.0], [0.0, 4.975083, 0.0], [0.0, 0.0, 4.975083]]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.5, 0.25, 0.0], [0.5, 0.75, 0.0], [0.0, 0.5, 0.25], [0.25, 0.0, 0.5], [0.75, 0.0, 0.5], [0.0, 0.5, 0.75]]","[13, 13, 42, 42, 42, 42, 42, 42]",10507,32001,-0.235311359999999,0.0,8,Pm-3n
Al8Mo3,"[[0.0, -3.650172, 0.0], [4.612884, 1.825086, -0.009648], [-1.862861, 0.0, 9.90562]]","[[0.727, 0.454, 0.0902], [0.459, 0.918, 0.179], [0.186, 0.371, 0.278], [0.632, 0.263, 0.458], [0.368, 0.737, 0.542], [0.814, 0.629, 0.722], [0.541, 0.0818, 0.821], [0.273, 0.546, 0.91], [0.0, 0.0, 0.0], [0.905, 0.81, 0.341], [0.0951, 0.19, 0.659]]","[13, 13, 13, 13, 13, 13, 13, 13, 42, 42, 42]",10509,146801,-0.334940658181819,0.0,11,C2/m
Al5Mo,"[[4.909444, 1.5e-05, 0.0], [-2.454709, 4.25168, 0.0], [0.0, 0.0, 8.882699]]","[[5.25e-06, 2.35e-06, 0.0], [0.333, 0.667, 0.0], [0.338, 0.338, 0.25], [1.0, 0.662, 0.25], [0.662, 7.07e-06, 0.25], [1.0, 1.0, 0.5], [0.667, 0.333, 0.5], [0.662, 0.662, 0.75], [6.44e-07, 0.338, 0.75], [0.338, 1.0, 0.75], [0.667, 0.333, 0.0], [0.333, 0.667, 0.5]]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 42, 42]",17888,159230,-0.244013523333334,0.0,12,P6322
Al12Mo,"[[3.790904, 3.790904, 3.790904], [3.790904, -3.790904, -3.790904], [-3.790904, 3.790904, -3.790904]]","[[0.814, 0.309, 0.123], [0.309, 0.495, 0.186], [0.691, 0.877, 0.186], [0.123, 0.814, 0.309], [0.495, 0.186, 0.309], [0.186, 0.309, 0.495], [0.814, 0.691, 0.505], [0.505, 0.814, 0.691], [0.877, 0.186, 0.691], [0.309, 0.123, 0.814], [0.691, 0.505, 0.814], [0.186, 0.691, 0.877], [0.0, 0.0, 0.0]]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 42]",10510,237306,-0.116728356923077,0.0,13,Im-3
MoRu3,"[[5.482947, 0.0, 0.0], [-2.741474, 4.748371, 0.0], [0.0, 0.0, 4.349287]]","[[0.667, 0.333, 0.25], [0.333, 0.667, 0.75], [0.834, 0.166, 0.75], [0.333, 0.166, 0.75], [0.834, 0.667, 0.75], [0.166, 0.834, 0.25], [0.667, 0.834, 0.25], [0.166, 0.333, 0.25]]","[42, 42, 44, 44, 44, 44, 44, 44]",319129,251116,-0.0556835600000003,0.0,8,P63/mmc
AlRu,"[[3.008656, 0.0, 0.0], [0.0, 3.008656, 0.0], [0.0, 0.0, 3.008656]]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]","[13, 44]",306791,814627,-0.66276286,0.0,2,Pm-3m
Al3Mo,"[[0.0, 3.605452, 0.0], [1.733392, 0.0, -8.229927], [-8.228113, -1.802726, 0.000817]]","[[0.497, 0.093, 0.995], [0.00323, 0.857, 0.00646], [0.503, 0.598, 0.00694], [0.625, 0.396, 0.25], [0.125, 0.147, 0.25], [0.126, 0.656, 0.253], [0.749, 0.695, 0.497], [0.75, 0.206, 0.5], [0.25, 0.955, 0.5], [0.372, 0.755, 0.744], [0.872, 0.496, 0.744], [0.377, 0.26, 0.755], [0.0106, 0.356, 0.0213], [0.633, 0.904, 0.265], [0.242, 0.448, 0.485], [0.864, 0.997, 0.728]]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 42, 42, 42, 42]",17886,1227345,-0.321917995,0.0,16,Cm
Al13Ru4,"[[0.0, -8.222647, 0.0], [-7.974192, 4.111324, -0.000432], [3.90749, 0.0, -12.189792]]","[[0.251, 0.0, 0.0], [0.749, 0.0, 0.0], [0.761, 0.521, 0.0436], [0.151, 0.735, 0.109], [0.583, 0.735, 0.109], [0.406, 0.372, 0.11], [0.966, 0.372, 0.11], [0.519, 0.0374, 0.171], [0.0676, 0.135, 0.175], [0.918, 0.836, 0.214], [0.69, 0.38, 0.227], [0.322, 0.644, 0.283], [0.258, 0.981, 0.33], [0.723, 0.981, 0.33], [0.401, 0.357, 0.335], [0.957, 0.357, 0.335], [0.928, 0.856, 0.42], [0.764, 0.528, 0.462], [0.141, 0.728, 0.48], [0.587, 0.728, 0.48], [0.5, 0.0, 0.5], [0.413, 0.272, 0.52], [0.859, 0.272, 0.52], [0.236, 0.472, 0.538], [0.0722, 0.144, 0.58], [0.0435, 0.643, 0.665], [0.599, 0.643, 0.665], [0.277, 0.0187, 0.67], [0.742, 0.0187, 0.67], [0.678, 0.356, 0.717], [0.31, 0.62, 0.773], [0.0821, 0.164, 0.786], [0.932, 0.865, 0.825], [0.481, 0.963, 0.829], [0.0345, 0.628, 0.89], [0.594, 0.628, 0.89], [0.417, 0.265, 0.891], [0.849, 0.265, 0.891], [0.239, 0.479, 0.956], [0.908, 0.816, 0.0123], [0.6, 0.199, 0.0154], [0.0229, 0.638, 0.278], [0.615, 0.638, 0.278], [0.599, 0.197, 0.376], [0.0852, 0.17, 0.383], [0.915, 0.83, 0.617], [0.401, 0.803, 0.624], [0.385, 0.362, 0.722], [0.977, 0.362, 0.722], [0.4, 0.801, 0.985], [0.0919, 0.184, 0.988]]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44]",54943,2340317,-0.530929465294118,0.0,51,C2/m
Al,"[[-2.84284, 0.0, 0.0], [-1.42142, -2.461972, 0.0], [1.421419, 0.820658, 4.71158]]","[[0.75, 0.75, 0.25], [0.25, 0.25, 0.75]]","[13, 13]",1215750,2694645,0.0,0.0,2,R-3m
Al12Ru,"[[-3.760311371, 3.760311371, 3.760311371], [3.760311371, -3.760311371, 3.760311371], [3.760311371, 3.760311371, -3.760311371]]","[[0.811, 0.308, 0.118], [0.308, 0.497, 0.189], [0.692, 0.882, 0.189], [0.497, 0.189, 0.308], [0.118, 0.811, 0.308], [0.189, 0.308, 0.497], [0.811, 0.692, 0.503], [0.503, 0.811, 0.692], [0.882, 0.189, 0.692], [0.308, 0.118, 0.811], [0.692, 0.503, 0.811], [0.189, 0.692, 0.882], [0.0, 0.0, 0.0]]","[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 44]",1437940,3606618,-0.179626015384615,0.0,13,Im-3
Al3Ru2,"[[-1.553228444, 1.553228444, 7.181768147], [1.553228444, -1.553228444, 7.181768147], [1.553228444, 1.553228444, -7.181768147]]","[[0.0, 0.0, 0.0], [0.194, 0.194, 0.0], [0.806, 0.806, 0.0], [0.394, 0.394, 0.0], [0.606, 0.606, 0.0]]","[13, 13, 13, 44, 44]",2025699,5116815,-0.6996704800000003,0.0,5,I4/mmm
Al2MoRu3,"[[4.30678912, 0.0, 0.0], [-2.15339456, 3.729788787, 0.0], [0.0, 0.0, 5.27580962]]","[[0.333, 0.667, 0.339], [0.667, 0.333, 0.661], [0.0, 0.0, 0.0], [0.667, 0.333, 0.162], [0.0, 0.0, 0.5], [0.333, 0.667, 0.838]]","[13, 13, 42, 44, 44, 44]",2145684,5635451,-0.4890286200000003,0.0,6,P-3m1
SbPt,"[[4.192009, 0.0, 0.0], [-2.096005, 3.6305, 0.0], [0.0, 0.0, 5.553994]]","[[0.0, 0.0, 0.0], [0.0, 0.0, 0.5], [0.333, 0.667, 0.25], [0.667, 0.333, 0.75]]","[78, 78, 51, 51]",3649,11117,-0.4255493575,0.0,4,P63/mmc
Sb2Pt3,"[[0.0, 0.0, -5.37352], [-6.528033, 0.0, 0.0], [3.264016, 5.532389, 2.68676]]","[[0.25, 0.0, 0.0], [0.75, 0.0, 0.0], [0.608, 0.479, 0.217], [0.108, 0.737, 0.217], [0.892, 0.263, 0.783], [0.392, 0.521, 0.783], [0.157, 0.394, 0.313], [0.657, 0.919, 0.313], [0.343, 0.0813, 0.687], [0.843, 0.606, 0.687]]","[78, 78, 78, 78, 78, 78, 51, 51, 51, 51]",7877,144772,-0.370650775,0.0,10,Ibam
Sb2Pt,"[[6.526747, 0.0, 0.0], [0.0, 6.526747, 0.0], [0.0, 0.0, 6.526747]]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.875, 0.375, 0.125], [0.625, 0.875, 0.125], [0.375, 0.375, 0.375], [0.125, 0.875, 0.375], [0.875, 0.125, 0.625], [0.625, 0.625, 0.625], [0.375, 0.125, 0.875], [0.125, 0.625, 0.875]]","[78, 78, 78, 78, 51, 51, 51, 51, 51, 51, 51, 51]",7991,150415,-0.486883621666667,0.0,12,Pa-3
